Code,Gemeindename,Kanton,municipality_type
4551,Aadorf,TG,Land
4001,Aarau,AG,Stadt
301,Aarberg,BE,Land
4271,Aarburg,AG,Agglomeration
321,Aarwangen,BE,Land
4221,Abtwil,AG,Land
5621,Aclens,VD,Land
5048,Acquarossa,TI,Land
561,Adelboden,BE,Land
1051,Adligenswil,LU,Agglomeration
21,Adlikon,ZH,Land
131,Adliswil,ZH,Agglomeration
2421,Aedermannsdorf,SO,Land
401,Aefligen,BE,Land
731,Aegerten,BE,Agglomeration
2761,Aesch,BL,Agglomeration
1021,Aesch,LU,Land
241,Aesch,ZH,Land
2511,Aeschi,SO,Land
562,Aeschi bei Spiez,BE,Land
1,Aeugst am Albis,ZH,Land
4711,Affeltrangen,TG,Land
2,Affoltern am Albis,ZH,Agglomeration
951,Affoltern im Emmental,BE,Land
6101,Agarn,VS,Land
5742,Agiez,VD,Land
5141,Agno,TI,Agglomeration
5401,Aigle,VD,Land
6601,Aire-la-Ville,GE,Land
5061,Airolo,TI,Land
1121,Alberswil,LU,Land
6102,Albinen,VS,Land
3542,Albula/Alvra,GR,Land
402,Alchenstorf,BE,Land
5851,Allaman,VD,Land
6771,Alle,JU,Land
630,Allmendingen,BE,Land
2762,Allschwil,BL,Agglomeration
1401,Alpnach,OW,Land
1361,Alpthal,SZ,Land
1122,Altbüron,LU,Land
1201,Altdorf,UR,Land
1341,Altendorf,SZ,Land
2291,Alterswil,FR,Land
211,Altikon,ZH,Land
1123,Altishofen,LU,Land
4641,Altnau,TG,Land
5237,Alto Malcantone,TI,Land
3251,Altstätten,SG,Stadt
1022,Altwis,LU,Land
3311,Amden,SG,Land
4881,Amlikon-Bissegg,TG,Land
4191,Ammerswil,AG,Land
4461,Amriswil,TG,Land
921,Amsoldingen,BE,Land
3701,Andeer,GR,Land
30,Andelfingen,ZH,Land
1202,Andermatt,UR,Land
3441,Andwil,SG,Land
6602,Anières,GE,Land
6252,Anniviers,VS,Land
2841,Anwil,BL,Land
3101,Appenzell,AI,Land
5421,Apples,VD,Land
5143,Aranno,TI,Land
6261,Arbaz,VS,Land
5001,Arbedo-Castione,TI,Agglomeration
2881,Arboldswil,BL,Land
4401,Arbon,TG,Stadt
381,Arch,BE,Land
2171,Arconciel,FR,Land
6021,Ardon,VS,Agglomeration
2821,Arisdorf,BL,Land
4222,Aristau,AG,Land
2763,Arlesheim,BL,Agglomeration
5701,Arnex-sur-Nyon,VD,Land
5743,Arnex-sur-Orbe,VD,Land
4061,Arni,AG,Land
602,Arni,BE,Land
5144,Arogno,TI,Land
3921,Arosa,GR,Land
1362,Arth,SZ,Land
5702,Arzier-Le Muids,VD,Land
5091,Ascona,TI,Agglomeration
5511,Assens,VD,Land
5146,Astano,TI,Land
2321,Attalens,FR,Land
1203,Attinghausen,UR,Land
971,Attiswil,BE,Land
3231,Au,SG,Agglomeration
5422,Aubonne,VD,Land
2061,Auboranges,FR,Land
4091,Auenstein,AG,Land
2822,Augst,BL,Agglomeration
6191,Ausserberg,VS,Land
322,Auswil,BE,Land
2173,Autigny,FR,Land
4223,Auw,AG,Land
5324,Avegno Gordevio,TI,Land
5451,Avenches,VD,Land
3681,Avers,GR,Land
2174,Avry,FR,Land
6603,Avully,GE,Land
6604,Avusy,GE,Land
6082,Ayent,VS,Land
1701,Baar,ZG,Agglomeration
51,Bachenbülach,ZH,Agglomeration
81,Bachs,ZH,Land
3291,Bad Ragaz,SG,Land
4323,Bad Zurzach,AG,Land
4021,Baden,AG,Stadt
6031,Bagnes,VS,Land
4301,Baldingen,AG,Land
5242,Balerna,TI,Agglomeration
3232,Balgach,SG,Agglomeration
5744,Ballaigues,VD,Land
5423,Ballens,VD,Land
1023,Ballwil,LU,Land
2541,Balm bei Günsberg,SO,Land
2422,Balsthal,SO,Land
6281,Baltschieder,VS,Land
323,Bannwil,BE,Land
6605,Bardonnex,GE,Land
302,Bargen,BE,Land
2931,Bargen,SH,Land
2162,Bas-Intyamon,FR,Land
4536,Basadingen-Schlattingen,TG,Land
2701,Basel,BS,Stadt
6807,Basse-Allaine,JU,Land
52,Bassersdorf,ZH,Agglomeration
5703,Bassins,VD,Land
1204,Bauen,UR,Land
5745,Baulmes,VD,Land
297,Bauma,ZH,Land
5746,Bavois,VD,Land
571,Beatenberg,BE,Land
1501,Beckenried,NW,Land
5148,Bedano,TI,Agglomeration
5149,Bedigliora,TI,Land
5063,Bedretto,TI,Land
2951,Beggingen,SH,Land
5704,Begnins,VD,Land
4224,Beinwil,AG,Land
2612,Beinwil,SO,Land
4131,Beinwil am See,AG,Land
2175,Belfaux,FR,Agglomeration
2542,Bellach,SO,Agglomeration
6606,Bellevue,GE,Land
4022,Bellikon,AG,Land
5002,Bellinzona,TI,Stadt
732,Bellmund,BE,Agglomeration
6052,Bellwald,VS,Land
2053,Belmont-Broye,FR,Land
5581,Belmont-sur-Lausanne,VD,Agglomeration
5902,Belmont-sur-Yverdon,VD,Land
861,Belp,BE,Land
681,Belprahon,BE,Land
3312,Benken,SG,Land
22,Benken,ZH,Land
2882,Bennwil,BL,Land
5512,Bercher,VD,Land
3211,Berg,SG,Land
4891,Berg,TG,Land
23,Berg am Irchel,ZH,Land
4023,Bergdietikon,AG,Agglomeration
3544,Bergün Filisur,GR,Land
4062,Berikon,AG,Agglomeration
2932,Beringen,SH,Land
972,Berken,BE,Land
4801,Berlingen,TG,Land
351,Bern,BE,Stadt
3233,Berneck,SG,Agglomeration
6607,Bernex,GE,Agglomeration
5424,Berolle,VD,Land
1081,Beromünster,LU,Land
4226,Besenbüren,AG,Land
973,Bettenhausen,BE,Land
5471,Bettens,VD,Land
2702,Bettingen,BS,Agglomeration
2543,Bettlach,SO,Land
6205,Bettmeralp,VS,Land
4716,Bettwiesen,TG,Land
4227,Bettwil,AG,Land
