Jahr,Anteil_Agglo,Anteil_Land,Anteil_Stadt
1981,27.935799839719113,43.05559115219441,29.008609008086484
1982,27.28591929925739,42.82215715474042,29.891923546002197
1983,27.533453148947636,43.91409648828223,28.552450362770124
1984,27.83095510738171,45.09085176548626,27.07819312713203
1985,28.1385997194397,45.281601265214626,26.579799015345674
1986,27.399559929540406,47.35101328658004,25.24942678387955
1987,28.320297071010735,44.91606945210255,26.76363347688672
1988,27.94623683339904,46.567653689044555,25.486109477556404
1989,27.51925763985035,48.178827685896216,24.301914674253435
1990,27.86989819099677,46.5194554613147,25.610646347688537
1991,28.20825937275378,46.21106434344113,25.580676283805094
1992,28.22634347517445,47.00084360427892,24.772812920546627
1993,28.342588122229703,47.190838798951376,24.46657307881893
1994,28.119512900363365,46.9720087432696,24.908478356367045
1995,27.713346359725488,47.71347752399189,24.573176116282617
1996,27.501500683491916,47.33727105354294,25.161228262965142
1997,28.438630238751056,46.539502801388,25.021866959860947
1998,28.083747294134678,48.194107961012186,23.72214474485314
1999,28.617855149014872,47.28518678996492,24.09695806102021
2000,28.50802724983825,47.939633236808696,23.55233951335304
2001,28.32526949143653,48.756836034483875,22.917894474079603
2002,28.86794454110121,47.854456904294096,23.277598554604683
2003,29.007436944862185,47.77070903012709,23.221854025010728
2004,29.02259928492493,47.843113093091276,23.13428762198379
2005,28.540173631836968,48.73164404018638,22.72818232797665
2006,28.950664410499964,48.08320209376987,22.966133495730173
2007,28.732650956496506,47.68460698311537,23.582742060388114
2008,28.57110962434309,48.48833085120911,22.940559524447785
2009,28.55627564015366,49.346893414657494,22.09683094518884
2010,28.37476335927725,49.384193807133656,22.241042833589095
2011,27.60615906523374,50.98573368017007,21.40810725459618
2012,28.371290343545706,49.05231615408551,22.5763935023688
2013,28.10156850994348,50.252142645765275,21.64628884429125
2014,28.26813559583745,49.99424160312745,21.737622801035098
2015,28.442149944093032,49.89177217267385,21.666077883233115
2016,28.109636964645343,49.71981139443005,22.170551640924597
2017,28.24236666181773,49.838569804349284,21.919063533832986
2018,28.025484994944502,49.64902478327541,22.32549022178009
2019,27.823108019611237,50.38378708168676,21.793104898702
2020,28.121955110373474,48.535860258952084,23.34218463067444
